Punto Numero:	Temperatura:	Heatflow:
247	  98.3	   -1.066
248	  98.5	   -1.068
249	  98.6	   -1.070
250	  98.8	   -1.072
251	  99.0	   -1.073
252	  99.2	   -1.076
253	  99.3	   -1.079
254	  99.5	   -1.080
255	  99.6	   -1.082
256	  99.8	   -1.085
257	 100.0	   -1.087
258	 100.1	   -1.089
259	 100.3	   -1.091
260	 100.5	   -1.094
261	 100.6	   -1.096
262	 100.8	   -1.098
263	 101.0	   -1.101
264	 101.1	   -1.104
265	 101.3	   -1.107
266	 101.5	   -1.110
267	 101.7	   -1.112
268	 101.8	   -1.116
269	 102.0	   -1.120
270	 102.1	   -1.123
271	 102.3	   -1.126
272	 102.5	   -1.130
273	 102.6	   -1.133
274	 102.8	   -1.135
275	 103.0	   -1.140
276	 103.1	   -1.144
277	 103.3	   -1.146
278	 103.4	   -1.148
279	 103.6	   -1.150
280	 103.8	   -1.155
281	 104.0	   -1.159
282	 104.1	   -1.162
283	 104.3	   -1.165
284	 104.4	   -1.169
285	 104.6	   -1.172
286	 104.8	   -1.176
287	 104.9	   -1.180
288	 105.1	   -1.183
289	 105.3	   -1.187
290	 105.4	   -1.191
291	 105.6	   -1.195
292	 105.8	   -1.198
293	 105.9	   -1.202
294	 106.1	   -1.206
295	 106.2	   -1.210
296	 106.4	   -1.214
297	 106.6	   -1.219
298	 106.7	   -1.224
299	 106.9	   -1.228
300	 107.1	   -1.232
301	 107.2	   -1.238
302	 107.4	   -1.242
303	 107.6	   -1.248
304	 107.7	   -1.252
305	 107.9	   -1.253
306	 108.1	   -1.253
307	 108.2	   -1.258
308	 108.4	   -1.269
309	 108.6	   -1.276
310	 108.7	   -1.281
311	 108.9	   -1.286
312	 109.0	   -1.292
313	 109.2	   -1.297
314	 109.4	   -1.303
315	 109.6	   -1.307
316	 109.7	   -1.314
317	 109.9	   -1.318
318	 110.0	   -1.323
319	 110.2	   -1.330
320	 110.4	   -1.336
321	 110.5	   -1.342
322	 110.7	   -1.348
323	 110.8	   -1.354
324	 111.0	   -1.358
325	 111.2	   -1.366
326	 111.4	   -1.372
327	 111.5	   -1.381
328	 111.7	   -1.388
329	 111.8	   -1.395
330	 112.0	   -1.403
331	 112.2	   -1.410
332	 112.3	   -1.418
333	 112.5	   -1.426
334	 112.7	   -1.434
335	 112.8	   -1.442
336	 113.0	   -1.450
337	 113.2	   -1.459
338	 113.3	   -1.466
339	 113.5	   -1.474
340	 113.6	   -1.484
341	 113.8	   -1.493
342	 114.0	   -1.504
343	 114.1	   -1.514
344	 114.3	   -1.525
345	 114.5	   -1.536
346	 114.7	   -1.547
347	 114.8	   -1.558
348	 115.0	   -1.568
349	 115.1	   -1.580
350	 115.3	   -1.594
351	 115.5	   -1.607
352	 115.6	   -1.620
353	 115.8	   -1.633
354	 116.0	   -1.648
355	 116.1	   -1.661
356	 116.3	   -1.672
357	 116.5	   -1.687
358	 116.6	   -1.702
359	 116.8	   -1.717
360	 116.9	   -1.732
361	 117.1	   -1.747
362	 117.3	   -1.763
363	 117.4	   -1.777
364	 117.6	   -1.794
365	 117.7	   -1.811
366	 117.9	   -1.829
367	 118.1	   -1.845
368	 118.2	   -1.864
369	 118.4	   -1.882
370	 118.6	   -1.901
371	 118.7	   -1.921
372	 118.9	   -1.940
373	 119.0	   -1.962
374	 119.2	   -1.982
375	 119.4	   -2.004
376	 119.5	   -2.027
377	 119.7	   -2.049
378	 119.9	   -2.072
379	 120.0	   -2.089
380	 120.2	   -2.118
381	 120.4	   -2.145
382	 120.5	   -2.173
383	 120.7	   -2.199
384	 120.8	   -2.229
385	 121.0	   -2.260
386	 121.1	   -2.291
387	 121.3	   -2.322
388	 121.5	   -2.354
389	 121.6	   -2.387
390	 121.8	   -2.422
391	 122.0	   -2.458
392	 122.1	   -2.494
393	 122.3	   -2.529
394	 122.4	   -2.567
395	 122.6	   -2.605
396	 122.7	   -2.645
397	 123.0	   -2.687
398	 123.1	   -2.729
399	 123.2	   -2.774
400	 123.4	   -2.819
401	 123.5	   -2.867
402	 123.7	   -2.913
403	 123.8	   -2.961
404	 124.0	   -3.011
405	 124.2	   -3.064
406	 124.3	   -3.116
407	 124.5	   -3.171
408	 124.7	   -3.228
409	 124.8	   -3.284
410	 125.0	   -3.340
411	 125.1	   -3.397
412	 125.3	   -3.459
413	 125.4	   -3.523
414	 125.6	   -3.586
415	 125.7	   -3.654
416	 125.9	   -3.724
417	 126.0	   -3.795
418	 126.2	   -3.872
419	 126.4	   -3.952
420	 126.5	   -4.033
421	 126.7	   -4.118
422	 126.8	   -4.207
423	 127.0	   -4.300
424	 127.1	   -4.396
425	 127.3	   -4.496
426	 127.4	   -4.601
427	 127.6	   -4.714
428	 127.7	   -4.830
429	 127.9	   -4.950
430	 128.0	   -5.069
431	 128.2	   -5.197
432	 128.3	   -5.324
433	 128.5	   -5.451
434	 128.6	   -5.580
435	 128.7	   -5.708
436	 128.9	   -5.843
437	 129.0	   -5.975
438	 129.2	   -6.112
439	 129.3	   -6.246
440	 129.5	   -6.388
441	 129.6	   -6.537
442	 129.8	   -6.679
443	 129.9	   -6.821
444	 130.1	   -6.965
445	 130.2	   -7.105
446	 130.3	   -7.245
447	 130.5	   -7.375
448	 130.6	   -7.512
449	 130.8	   -7.638
450	 130.9	   -7.756
451	 131.1	   -7.865
452	 131.2	   -7.967
453	 131.4	   -8.060
454	 131.5	   -8.140
455	 131.7	   -8.204
456	 131.9	   -8.254
457	 132.0	   -8.288
458	 132.2	   -8.304
459	 132.3	   -8.304
460	 132.5	   -8.285
461	 132.7	   -8.249
462	 132.9	   -8.194
463	 133.0	   -8.122
464	 133.2	   -8.027
465	 133.4	   -7.913
466	 133.6	   -7.779
467	 133.8	   -7.621
468	 134.0	   -7.438
469	 134.2	   -7.230
470	 134.4	   -6.991
471	 134.6	   -6.730
472	 134.8	   -6.451
473	 135.0	   -6.166
474	 135.2	   -5.873
475	 135.4	   -5.580
476	 135.6	   -5.289
477	 135.9	   -5.013
478	 136.1	   -4.748
479	 136.3	   -4.492
480	 136.4	   -4.247
481	 136.7	   -4.012
482	 136.9	   -3.789
483	 137.1	   -3.584
484	 137.2	   -3.392
485	 137.4	   -3.212
486	 137.6	   -3.042
487	 137.8	   -2.884
488	 138.0	   -2.738
489	 138.2	   -2.599
490	 138.4	   -2.471
491	 138.5	   -2.352
492	 138.7	   -2.244
493	 138.9	   -2.141
494	 139.1	   -2.047
495	 139.3	   -1.953
496	 139.4	   -1.868
497	 139.7	   -1.790
498	 139.8	   -1.715
499	 140.0	   -1.649
500	 140.2	   -1.587
501	 140.3	   -1.531
502	 140.5	   -1.476
503	 140.7	   -1.426
504	 140.9	   -1.378
505	 141.0	   -1.337
506	 141.2	   -1.296
507	 141.4	   -1.254
508	 141.6	   -1.223
509	 141.7	   -1.190
510	 141.9	   -1.159
511	 142.0	   -1.132
512	 142.2	   -1.104
513	 142.4	   -1.078
514	 142.6	   -1.057
515	 142.7	   -1.036
516	 142.9	   -1.016
517	 143.1	   -0.998
518	 143.2	   -0.981
519	 143.4	   -0.965
520	 143.6	   -0.949
521	 143.7	   -0.937
522	 143.9	   -0.924
523	 144.1	   -0.911
524	 144.2	   -0.900
525	 144.4	   -0.889
526	 144.6	   -0.880
527	 144.7	   -0.871
528	 144.9	   -0.861
529	 145.1	   -0.854
530	 145.3	   -0.846
531	 145.4	   -0.839
532	 145.6	   -0.835
533	 145.8	   -0.831
534	 145.9	   -0.825
535	 146.1	   -0.820
536	 146.3	   -0.815
537	 146.4	   -0.811
538	 146.6	   -0.806
539	 146.7	   -0.802
540	 146.9	   -0.797
541	 147.1	   -0.793
542	 147.3	   -0.790
543	 147.4	   -0.787
544	 147.6	   -0.783
545	 147.8	   -0.781
546	 147.9	   -0.778
547	 148.1	   -0.775
548	 148.3	   -0.773
549	 148.4	   -0.771
550	 148.6	   -0.769
551	 148.8	   -0.767
552	 148.9	   -0.765
553	 149.1	   -0.764
554	 149.3	   -0.761
555	 149.4	   -0.760
556	 149.6	   -0.759
557	 149.7	   -0.756
558	 149.9	   -0.755
559	 150.1	   -0.755
560	 150.3	   -0.754
561	 150.4	   -0.753
562	 150.6	   -0.752
563	 150.8	   -0.752
564	 150.9	   -0.751
565	 151.1	   -0.751
566	 151.3	   -0.750
567	 151.4	   -0.749
568	 151.6	   -0.749
569	 151.8	   -0.749
570	 151.9	   -0.748
571	 152.1	   -0.746
572	 152.2	   -0.744
573	 152.4	   -0.743
574	 152.6	   -0.743
575	 152.7	   -0.741
576	 152.9	   -0.741
577	 153.1	   -0.740
578	 153.2	   -0.740
579	 153.4	   -0.740
580	 153.6	   -0.738
581	 153.7	   -0.738
582	 153.9	   -0.739
583	 154.1	   -0.738
584	 154.2	   -0.738
585	 154.4	   -0.739
586	 154.6	   -0.739
587	 154.7	   -0.738
588	 154.9	   -0.736
589	 155.1	   -0.733
590	 155.2	   -0.734
591	 155.4	   -0.735
592	 155.6	   -0.733
593	 155.7	   -0.733
594	 155.9	   -0.733
595	 156.1	   -0.732
596	 156.2	   -0.731
597	 156.4	   -0.731
598	 156.5	   -0.731
599	 156.7	   -0.731
600	 156.9	   -0.731
601	 157.0	   -0.730
602	 157.2	   -0.730
603	 157.4	   -0.729
604	 157.5	   -0.729
605	 157.7	   -0.728
606	 157.9	   -0.727
607	 158.1	   -0.726
608	 158.2	   -0.724
609	 158.4	   -0.724
610	 158.6	   -0.724
611	 158.7	   -0.724
612	 158.9	   -0.724
613	 159.0	   -0.723
614	 159.2	   -0.724
615	 159.4	   -0.724
616	 159.5	   -0.723
617	 159.7	   -0.724
